Metodo ,URI,Tarea,Base de datos,,
POST, /api/v1/hotels/new/, Alta de un nuevo hotel  ,hotels,,
POST, /api/v1/flights/new, Alta de un nuevo vuelo,flights,,
POST, /api/v1/hotel-booking/new, Alta de una reserva de hotel,bookings,,
POST, /api/v1/flight-reservation/new Alta de una reserva de vuelo,,reservations,,
,,,,,
PUT, /api/v1/flights/edit?flightNumber=number, Modificacion de un vuelo,flights,,
PUT, /api/v1/hotels/edit?hotelCode=code, Modificacion de un hotel,hotels,,
PUT, /api/v1/hotel-booking/edit?id=num_id, Modificacion de una reserva de hotel,bookings,,
PUT, /api/v1/flight-reservation/edit?id=num_id, Modificacion de una reserva de vuelo,reservations,,
,,,,,
,,,,,
GET, /api/v1/hotels, Listado de todos los hoteles,hotels,,
GET, /api/v1/hotels?dateFrom=dd/mm/aaaa&dateTo=dd/mm/aaaa&destination=destination_name, Listado de hoteles segun filtros,hotels,,
GET, /api/v1/flights, Listado de todos los vuelos,flights,,
GET, /api/v1/flights?dateFrom=dd/mm/aaaa&dateTo=dd/mm/aaaa&origin=origin_name&destination=destination_name Listado de vuelos según filtros,,flights,,
GET, /api/v1/hotel-bookings/, Listado de todas las reservas de hotel,bookings,,
GET, /api/v1/flight-reservations/, Listado de todas las reservas de vuelos ,reservations,,
,,,,,
DELETE, /api/v1/hotels/delete?hotelCode=code, Baja de un hotel,hotels,,
DELETE, /api/v1/flights/delete?flightNumber=number, Baja de un vuelo,flights,,
DELETE, /api/v1/hotel-booking/delete?id=num_id, Baja de una reserva de hotel,bookings ,,
DELETE, /api/v1/flight-reservation/delete?id=num_id, Baja de una reserva de vuelo,reservations,,
